,parent,daughter,loss,count
207,82.07,81.07,1.0,1
208,82.36,55.06,27.299999999999997,1
209,82.36,67.06,15.299999999999997,1
210,82.36,67.2,15.159999999999997,1
211,82.36,68.27,14.090000000000003,1
212,82.36,70.29,12.069999999999993,1
213,82.36,70.51,11.849999999999994,1
214,82.36,74.32,8.040000000000006,1
215,82.36,81.07,1.2900000000000063,1
216,83.05,55.05,28.0,4
217,83.05,55.06,27.989999999999995,6
218,83.05,55.07,27.979999999999997,1
219,83.05,55.93,27.119999999999997,1
220,83.05,56.67,26.379999999999995,1
221,83.05,57.03,26.019999999999996,1
222,83.05,57.07,25.979999999999997,10
223,83.05,59.05,24.0,1
224,83.05,67.05,16.0,5
225,83.05,67.06,15.989999999999995,7
226,83.05,69.03,14.019999999999996,2
227,83.05,69.07,13.980000000000004,12
228,83.05,71.09,11.959999999999994,4
229,83.05,79.05,4.0,9
230,83.05,79.06,3.989999999999995,1
231,83.05,81.03,2.019999999999996,3
232,83.05,81.07,1.980000000000004,12
233,83.07,82.06,1.009999999999991,1
234,83.08,81.03,2.049999999999997,1
235,83.09,55.02,28.07,1
236,83.09,55.05,28.040000000000006,12
237,83.09,55.06,28.03,19
238,83.09,55.07,28.020000000000003,1
239,83.09,55.93,27.160000000000004,2
240,83.09,56.67,26.42,1
241,83.09,57.03,26.060000000000002,6
242,83.09,57.07,26.020000000000003,17
243,83.09,59.05,24.040000000000006,1
244,83.09,60.05,23.040000000000006,1
245,83.09,61.03,22.060000000000002,3
246,83.09,67.05,16.040000000000006,24
247,83.09,67.06,16.03,36
248,83.09,69.03,14.060000000000002,7
249,83.09,69.07,14.02000000000001,75
250,83.09,71.05,12.040000000000006,3
251,83.09,71.09,12.0,19
252,83.09,73.03,10.060000000000002,1
253,83.09,79.05,4.040000000000006,27
254,83.09,79.06,4.030000000000001,14
255,83.09,81.03,2.0600000000000023,8
256,83.09,81.07,2.0200000000000102,79
257,84.04,55.05,28.99000000000001,3
258,84.08,69.03,15.049999999999997,1
259,84.08,72.08,12.0,1
260,84.08,81.03,3.049999999999997,1
261,84.96,52.61,32.349999999999994,1
262,84.96,55.05,29.909999999999997,1
263,84.96,56.96,27.999999999999993,1
264,84.96,58.17,26.789999999999992,1
265,84.96,62.06,22.89999999999999,1
266,84.96,67.05,17.909999999999997,1
267,84.96,68.05,16.909999999999997,1
268,84.96,68.79,16.169999999999987,1
269,84.96,69.07,15.89,2
270,84.96,80.95,4.009999999999991,1
271,84.96,81.07,3.8900000000000006,2
272,84.96,82.06,2.8999999999999915,2
273,84.96,83.09,1.8699999999999903,1
274,85.03,55.02,30.009999999999998,2
275,85.03,55.05,29.980000000000004,2
276,85.03,57.03,28.0,6
277,85.03,57.07,27.96,7
278,85.03,61.03,24.0,8
279,85.03,63.04,21.990000000000002,2
280,85.03,67.05,17.980000000000004,11
281,85.03,67.06,17.97,5
282,85.03,69.03,16.0,23
283,85.03,69.07,15.960000000000008,16
284,85.03,70.07,14.960000000000008,1
285,85.03,71.05,13.980000000000004,3
286,85.03,71.09,13.939999999999998,7
287,85.03,73.03,12.0,11
288,85.03,79.05,5.980000000000004,10
289,85.03,79.06,5.969999999999999,3
290,85.03,81.03,4.0,11
291,85.03,81.07,3.960000000000008,26
292,85.03,82.06,2.969999999999999,2
293,85.03,83.09,1.9399999999999977,15
294,85.06,55.05,30.010000000000005,1
295,85.06,57.03,28.03,1
296,85.06,67.05,18.010000000000005,2
297,85.06,69.03,16.03,1
298,85.06,69.07,15.990000000000009,3
299,85.06,71.05,14.010000000000005,2
300,85.06,79.05,6.010000000000005,1
301,85.06,81.07,3.990000000000009,4
302,85.06,83.05,2.010000000000005,1
303,85.06,83.09,1.9699999999999989,1
304,85.07,55.06,30.00999999999999,1
305,85.07,55.07,29.999999999999993,1
306,85.07,56.67,28.39999999999999,1
307,85.07,57.07,27.999999999999993,1
308,85.07,59.05,26.019999999999996,1
309,85.07,67.06,18.00999999999999,1
310,85.07,69.07,16.0,1
311,85.07,79.05,6.019999999999996,1
312,85.07,81.07,4.0,1
313,85.07,83.05,2.019999999999996,1
314,85.07,83.09,1.9799999999999898,1
