,parent,loss,count
5388,82.06,12.0,8
5389,82.06,12.990000000000009,26
5390,82.06,13.030000000000001,31
5395,82.06,14.010000000000005,17
5400,82.06,15.010000000000005,65
5444,82.06,23.990000000000002,11
5447,82.06,24.990000000000002,14
5449,82.06,25.03,23
5458,82.06,27.010000000000005,24
5477,82.07,1.0,15
5486,82.07,3.019999999999996,8
5498,82.07,13.0,13
5513,82.07,24.999999999999993,10
5653,83.05,1.980000000000004,114
5655,83.05,2.019999999999996,28
5667,83.05,3.989999999999995,14
5668,83.05,4.0,102
5693,83.05,10.019999999999996,21
5708,83.05,11.959999999999994,39
5709,83.05,12.0,73
5718,83.05,13.980000000000004,110
5719,83.05,14.019999999999996,56
5729,83.05,15.989999999999995,31
5730,83.05,16.0,91
5748,83.05,18.00999999999999,8
5778,83.05,22.019999999999996,10
5793,83.05,24.0,25
5809,83.05,25.979999999999997,79
5810,83.05,26.019999999999996,51
5831,83.05,27.989999999999995,30
5832,83.05,28.0,63
5833,83.05,28.029999999999994,24
5853,83.05,30.009999999999998,24
5875,83.07,1.009999999999991,104
5877,83.07,2.0,21
5882,83.07,4.019999999999996,42
5892,83.07,12.019999999999996,10
5895,83.07,14.0,11
5897,83.07,15.019999999999996,8
5898,83.07,16.019999999999996,22
5915,83.07,28.019999999999996,9
5923,83.08,2.010000000000005,28
5929,83.08,4.030000000000001,22
5945,83.08,11.989999999999995,11
5948,83.08,12.030000000000001,12
5952,83.08,14.010000000000005,32
5953,83.08,14.049999999999997,8
5960,83.08,16.03,25
5989,83.08,26.009999999999998,18
5990,83.08,26.049999999999997,11
6000,83.08,28.03,20
6011,83.09,1.0200000000000102,12
6012,83.09,1.0300000000000011,12
6022,83.09,2.0200000000000102,233
6024,83.09,2.0600000000000023,38
6038,83.09,3.030000000000001,16
6051,83.09,4.030000000000001,37
6052,83.09,4.040000000000006,142
6103,83.09,10.02000000000001,30
6105,83.09,10.060000000000002,67
6133,83.09,12.0,139
6134,83.09,12.010000000000005,9
6136,83.09,12.040000000000006,89
6154,83.09,14.02000000000001,245
6155,83.09,14.060000000000002,70
6173,83.09,16.03,86
6174,83.09,16.040000000000006,145
6232,83.09,21.03,9
6247,83.09,22.060000000000002,29
6253,83.09,23.010000000000005,12
6266,83.09,24.040000000000006,18
6294,83.09,26.020000000000003,160
6295,83.09,26.060000000000002,82
6322,83.09,28.03,72
6323,83.09,28.040000000000006,98
6324,83.09,28.07,34
6355,83.09,30.050000000000004,28
6543,84.08,1.0100000000000051,11
6544,84.08,1.0300000000000011,11
6546,84.08,2.019999999999996,60
6549,84.08,3.010000000000005,28
6550,84.08,3.049999999999997,15
6561,84.08,5.030000000000001,22
6578,84.08,11.019999999999996,8
6579,84.08,11.049999999999997,18
6584,84.08,12.0,13
6591,84.08,13.030000000000001,16
6597,84.08,14.019999999999996,8
6601,84.08,15.010000000000005,16
6602,84.08,15.049999999999997,19
6606,84.08,16.03,9
6608,84.08,17.03,23
6626,84.08,23.049999999999997,10
6642,84.08,26.009999999999998,18
6647,84.08,27.049999999999997,18
6649,84.08,27.119999999999997,9
6658,84.08,29.03,15
6802,84.96,1.8699999999999903,10
6804,84.96,1.8900000000000006,12
6805,84.96,1.9099999999999966,11
6808,84.96,2.8999999999999915,21
6813,84.96,3.8900000000000006,28
6823,84.96,5.909999999999997,20
6850,84.96,13.909999999999997,14
6860,84.96,15.89,22
6861,84.96,15.929999999999993,8
6868,84.96,17.909999999999997,28
6896,84.96,27.889999999999993,14
6899,84.96,27.999999999999993,16
6905,84.96,29.909999999999997,22
6934,85.03,1.9399999999999977,75
6937,85.03,1.980000000000004,40
6941,85.03,2.960000000000008,9
6942,85.03,2.969999999999999,28
6947,85.03,3.960000000000008,96
6949,85.03,4.0,59
6967,85.03,5.969999999999999,14
6968,85.03,5.980000000000004,60
6989,85.03,12.0,101
7007,85.03,13.939999999999998,41
7008,85.03,13.980000000000004,58
7009,85.03,14.019999999999996,9
7017,85.03,15.960000000000008,81
7018,85.03,16.0,91
7028,85.03,17.97,27
7029,85.03,17.980000000000004,67
7067,85.03,24.0,67
7081,85.03,27.96,34
7083,85.03,28.0,64
7095,85.03,29.97,11
7096,85.03,29.980000000000004,31
7097,85.03,30.009999999999998,26
7111,85.03,31.990000000000002,15
7146,85.06,1.9699999999999989,47
7147,85.06,1.980000000000004,9
7148,85.06,2.010000000000005,44
7156,85.06,3.990000000000009,64
7158,85.06,4.030000000000001,14
7166,85.06,6.010000000000005,66
7184,85.06,12.030000000000001,11
7191,85.06,13.969999999999999,15
7192,85.06,14.010000000000005,50
7201,85.06,15.990000000000009,66
7202,85.06,16.03,30
7211,85.06,18.010000000000005,71
