,parent,loss,count
212,83.1,25.999999999999993,17
213,83.1,26.099999999999994,6
214,83.1,26.39999999999999,1
215,83.1,27.199999999999996,2
216,83.1,27.999999999999993,32
217,83.1,28.099999999999994,1
218,84.0,0.9000000000000057,4
219,84.0,28.9,3
220,84.1,0.09999999999999432,1
221,84.1,3.0999999999999943,1
222,84.1,12.0,1
223,84.1,15.099999999999994,1
224,85.0,0.9000000000000057,1
225,85.0,1.9000000000000057,16
226,85.0,2.9000000000000057,4
227,85.0,3.9000000000000057,28
228,85.0,4.0,11
229,85.0,4.099999999999994,1
230,85.0,5.900000000000006,13
231,85.0,12.0,11
232,85.0,13.900000000000006,7
233,85.0,14.0,3
234,85.0,14.900000000000006,1
235,85.0,15.900000000000006,18
236,85.0,16.0,23
237,85.0,16.200000000000003,1
238,85.0,17.0,1
239,85.0,17.900000000000006,17
240,85.0,22.0,2
241,85.0,22.9,1
242,85.0,24.0,8
243,85.0,26.799999999999997,1
244,85.0,27.9,7
245,85.0,28.0,7
246,85.0,29.9,3
247,85.0,30.0,2
248,85.0,32.4,1
249,85.1,0.09999999999999432,6
250,85.1,2.0,16
251,85.1,2.0999999999999943,4
252,85.1,4.0,21
253,85.1,4.099999999999994,3
254,85.1,5.0,5
255,85.1,6.0,5
256,85.1,12.0,9
257,85.1,12.099999999999994,5
258,85.1,14.0,61
259,85.1,14.099999999999994,3
260,85.1,16.0,14
261,85.1,16.099999999999994,4
262,85.1,18.0,7
263,85.1,22.999999999999993,1
264,85.1,24.099999999999994,2
265,85.1,26.099999999999994,1
266,85.1,27.999999999999993,43
267,85.1,28.099999999999994,1
268,85.1,28.39999999999999,1
269,85.1,29.999999999999993,8
270,86.1,4.0,1
271,86.1,5.0,1
272,86.1,6.0,1
273,86.1,6.5,1
274,86.1,7.0,1
275,86.1,14.0,1
276,86.1,17.0,1
277,86.1,19.0,1
278,86.1,19.5,1
279,86.1,25.999999999999993,3
280,86.1,27.999999999999993,1
281,86.1,29.099999999999994,2
282,86.1,30.199999999999996,1
283,87.0,0.0,1
284,87.0,1.9000000000000057,31
285,87.0,2.0,1
286,87.0,6.900000000000006,3
287,87.0,13.900000000000006,6
288,87.0,14.0,4
289,87.0,15.900000000000006,21
290,87.0,18.0,1
291,87.0,29.9,7
292,88.0,5.900000000000006,2
293,88.0,6.900000000000006,1
